gid;artist_name;tag_label
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;1970s
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;blues
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;icon
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;folk
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;singer/songwriter
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;rare
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;folk rock
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;rock
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;siple twist of fate
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;2000s
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;1990s
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;classic pop and rock
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;contemporary folk
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;country rock
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;pop/rock
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;american
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;pledging my time
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;pop rock
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;1980s
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;country
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;1 13 165900 150 7672 22647 34612 48720 59280 74602 87545 95495 107182 131087 141522 153710
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;blues rock
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;teater konsert
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;dylan bootleg series
00013295-a3d8-3c4b-b5c2-990463ef39a9;Bob Dylan;1960s
00026cde-34ef-369a-8ab2-defcefde2ba4;Elvis Presley;christmas music
