gid;tag_label
03f997de-b687-385e-a76b-4dc4a28188f5;rock
03f997de-b687-385e-a76b-4dc4a28188f5;alternative
0bf0f613-b58c-3f7f-8d0d-31e6ec6994cc;alternative and punk
93f18d6a-70c4-3e8c-84e8-183ff7cba4db;trance
03f997de-b687-385e-a76b-4dc4a28188f5;soundtrack
0d164910-a736-42fb-824a-a34fd02699fb;album rock
0d164910-a736-42fb-824a-a34fd02699fb;pop rock
0d164910-a736-42fb-824a-a34fd02699fb;classic rock
01113165-a8ee-42a1-afa6-8db8b5753a54;pop/rock
01113165-a8ee-42a1-afa6-8db8b5753a54;rock & roll
01113165-a8ee-42a1-afa6-8db8b5753a54;christmas
01113165-a8ee-42a1-afa6-8db8b5753a54;holidays
01113165-a8ee-42a1-afa6-8db8b5753a54;southern gospel
01113165-a8ee-42a1-afa6-8db8b5753a54;traditional gospel
00dd05e9-064a-3cd1-a2ed-09fd8d39affb;pop
07e362b5-ca00-3d66-91e6-f84e05b5e634;funk
07e362b5-ca00-3d66-91e6-f84e05b5e634;adult contemporary
07e362b5-ca00-3d66-91e6-f84e05b5e634;soul
07e362b5-ca00-3d66-91e6-f84e05b5e634;pop
0edbcd82-6c45-36e7-8e84-ab6193896592;latin
03f997de-b687-385e-a76b-4dc4a28188f5;pop/rock
03f997de-b687-385e-a76b-4dc4a28188f5;adult alternative pop/rock
03f997de-b687-385e-a76b-4dc4a28188f5;alternative pop/rock
03f997de-b687-385e-a76b-4dc4a28188f5;contemporary pop/rock
03f997de-b687-385e-a76b-4dc4a28188f5;alternative/indie rock
33a3c78a-e0f4-3baa-804b-fe546440187f;futurepop
33a3c78a-e0f4-3baa-804b-fe546440187f;electronic
34714984-7e53-3d88-8fb1-c0c604f7abed;pop/rock
34714984-7e53-3d88-8fb1-c0c604f7abed;contemporary pop/rock
34714984-7e53-3d88-8fb1-c0c604f7abed;hard rock
34714984-7e53-3d88-8fb1-c0c604f7abed;rock
34714984-7e53-3d88-8fb1-c0c604f7abed;classic rock
34714984-7e53-3d88-8fb1-c0c604f7abed;album rock
0189c47e-c906-3610-93ad-63c2eeeaed4c;dance pop
0189c47e-c906-3610-93ad-63c2eeeaed4c;pop/rock
0189c47e-c906-3610-93ad-63c2eeeaed4c;contemporary pop/rock
0189c47e-c906-3610-93ad-63c2eeeaed4c;pop
0189c47e-c906-3610-93ad-63c2eeeaed4c;dance-pop
0189c47e-c906-3610-93ad-63c2eeeaed4c;pop rock
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;heavy metal
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;scandinavian metal
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;dr6
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;opeth
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;progressive rock
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;pop/rock
07c140c3-0f21-4bc1-8be6-977a16723482;pop
021663bf-d505-456b-967b-b600caa1750a;pop
0123f0b4-1721-3c48-b053-2e9efaf04c3f;blues rock
0123f0b4-1721-3c48-b053-2e9efaf04c3f;alternative rock
0af33915-34e7-3454-bf8d-db73c71c4bda;r b
07821077-1927-3c69-ac8b-98a6c90b95ae;heavy metal
07821077-1927-3c69-ac8b-98a6c90b95ae;hard rock
07821077-1927-3c69-ac8b-98a6c90b95ae;alternative rock
07821077-1927-3c69-ac8b-98a6c90b95ae;alternative metal
07821077-1927-3c69-ac8b-98a6c90b95ae;alternative
07821077-1927-3c69-ac8b-98a6c90b95ae;metal
07821077-1927-3c69-ac8b-98a6c90b95ae;post-grunge
07821077-1927-3c69-ac8b-98a6c90b95ae;rock
07821077-1927-3c69-ac8b-98a6c90b95ae;pop/rock
07821077-1927-3c69-ac8b-98a6c90b95ae;contemporary pop/rock
0d164910-a736-42fb-824a-a34fd02699fb;rock
34714984-7e53-3d88-8fb1-c0c604f7abed;pop rock
07e362b5-ca00-3d66-91e6-f84e05b5e634;soul and reggae
0123f0b4-1721-3c48-b053-2e9efaf04c3f;punk blues
01113165-a8ee-42a1-afa6-8db8b5753a54;gospel
0189c47e-c906-3610-93ad-63c2eeeaed4c;now music uk
0189c47e-c906-3610-93ad-63c2eeeaed4c;other pop
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;goth metal
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;progressive death metal
0123f0b4-1721-3c48-b053-2e9efaf04c3f;garage rock
01113165-a8ee-42a1-afa6-8db8b5753a54;early pop/rock
01113165-a8ee-42a1-afa6-8db8b5753a54;country gospel
07ba5fab-8ba4-4c41-b34f-9dc6f5fc7a44;progressive metal
00fc93de-921b-3bfe-a81a-9196caabf0ed;rock
0807813b-8458-3183-b2ac-8f183ac13b8e;pop/rock
0807813b-8458-3183-b2ac-8f183ac13b8e;contemporary pop/rock
0807813b-8458-3183-b2ac-8f183ac13b8e;rock & roll
0807813b-8458-3183-b2ac-8f183ac13b8e;rock
0807813b-8458-3183-b2ac-8f183ac13b8e;classic rock
0807813b-8458-3183-b2ac-8f183ac13b8e;album rock
02a98074-899c-30ff-b448-dee8dee49217;hip-hop
023dcf4c-6a94-35d0-b700-650c2e9e2d42;pop/rock
023dcf4c-6a94-35d0-b700-650c2e9e2d42;heavy metal
023dcf4c-6a94-35d0-b700-650c2e9e2d42;rap-metal
023dcf4c-6a94-35d0-b700-650c2e9e2d42;metal
023dcf4c-6a94-35d0-b700-650c2e9e2d42;alternative metal
bb31baf2-c660-32c9-940e-f0ac355ef373;music
02a98074-899c-30ff-b448-dee8dee49217;rap
02a98074-899c-30ff-b448-dee8dee49217;underground rap
02a98074-899c-30ff-b448-dee8dee49217;christmas
02a98074-899c-30ff-b448-dee8dee49217;holidays
bb31baf2-c660-32c9-940e-f0ac355ef373;pop/rock
bb31baf2-c660-32c9-940e-f0ac355ef373;heavy metal
bb31baf2-c660-32c9-940e-f0ac355ef373;alternative/indie rock
1c757745-203a-3819-a443-b5cfbca1fe8b;instrumental
0be4b7e9-56fc-3d69-bea5-efd47280bad7;pop/rock
0be4b7e9-56fc-3d69-bea5-efd47280bad7;soft rock
0be4b7e9-56fc-3d69-bea5-efd47280bad7;contemporary pop/rock
0be4b7e9-56fc-3d69-bea5-efd47280bad7;rock
bb31baf2-c660-32c9-940e-f0ac355ef373;alternative metal
0171a9f6-34ed-4673-a02e-bc02026309ed;rock
0cacd874-fca5-4f75-b9fc-ef7d8d15ea84;rap hip-hop r b
0cacd874-fca5-4f75-b9fc-ef7d8d15ea84;soul
0cacd874-fca5-4f75-b9fc-ef7d8d15ea84;contemporary r&b
02a98074-899c-30ff-b448-dee8dee49217;alternative rap
bb31baf2-c660-32c9-940e-f0ac355ef373;post-hardcore
0cacd874-fca5-4f75-b9fc-ef7d8d15ea84;a cappella
0cacd874-fca5-4f75-b9fc-ef7d8d15ea84;soul and reggae
0807813b-8458-3183-b2ac-8f183ac13b8e;heartland rock
023dcf4c-6a94-35d0-b700-650c2e9e2d42;nü metal
bb31baf2-c660-32c9-940e-f0ac355ef373;emo
0171a9f6-34ed-4673-a02e-bc02026309ed;southern rock
02a98074-899c-30ff-b448-dee8dee49217;comedy rap
0be4b7e9-56fc-3d69-bea5-efd47280bad7;country-rock
00d19503-fc89-348c-9f44-5540a4567568;alternative/indie rock
00d19503-fc89-348c-9f44-5540a4567568;dance-pop
00d19503-fc89-348c-9f44-5540a4567568;alternative dance
00d19503-fc89-348c-9f44-5540a4567568;dance club
00d19503-fc89-348c-9f44-5540a4567568;house
00d19503-fc89-348c-9f44-5540a4567568;pop/rock
00d19503-fc89-348c-9f44-5540a4567568;electronic
00d19503-fc89-348c-9f44-5540a4567568;club/dance
